Ma_Don,Ngay_Dat,Ma_Khach_Hang,So_Dien_Thoai,Tinh_Thanh,Ma_San_Pham,Ten_San_Pham,Nhom_Hang,So_Luong,Don_Gia,Ty_Le_Giam_Gia,Tien_Giam,Tong_Hang,VAT_10,Phi_Van_Chuyen,Tong_Thanh_Toan,Don_Vi_Giao,Phuong_Thuc_Thanh_Toan,Kenh_Ban,Trang_Thai,Ngay_Giao_Du_Kien,So_Lan_Khach_Quay_Lai,thuong_hieu,danh_muc
DH2020002684,2020-01-01,KH00045,0919373445,C?n Th?,SP025,Máy in Canon LBP 2900,?? ?i?n t?,2,"4,290,000",0%,0,"8,580,000","858,000","22,000","9,460,000",VNPost,Th? ngân hàng,Website,?ang giao,2020-01-06,20,Canon,Máy in
DH2020004980,2020-01-01,KH00009,0853050012,Cà Mau,SP021,S?c nhanh Anker 20W,?? ?i?n t?,1,"350,000",0%,0,"350,000","35,000","25,000","410,000",J&T Express,Chuy?n kho?n,Shopee,?ã giao,2020-01-06,20,Anker,Ph? ki?n
DH2020006522,2020-01-01,KH00070,0869206033,TP. H? Chí Minh,SP011,Tai nghe AirPods 3,?? ?i?n t?,1,"3,990,000",20%,"798,000","3,990,000","319,000","45,000","3,556,000",J&T Express,Chuy?n kho?n,Facebook,?ã giao,2020-01-03,12,Apple,Tai nghe
DH2020006863,2020-01-01,KH00048,0933051680,Tây Ninh,SP022,Cáp s?c Type-C Anker,?? ?i?n t?,1,"190,000",15%,"28,000","190,000","16,000","45,000","223,000",Giao Hàng Nhanh,Ví ?i?n t?,Facebook,?ã giao,2020-01-03,18,Anker,Ph? ki?n
DH2020007018,2020-01-01,KH00444,0904461107,C?n Th?,SP001,Samsung Galaxy A15,?? ?i?n t?,3,"4,590,000",15%,"2,066,000","13,770,000","1,170,000","40,000","12,914,000",J&T Express,Th? ngân hàng,Website,?ã giao,2020-01-04,1,Samsung,?i?n tho?i
DH2020008249,2020-01-01,KH00567,0844718860,TP. H? Chí Minh,SP003,iPhone 15,?? ?i?n t?,2,"19,990,000",0%,0,"39,980,000","3,998,000","25,000","44,003,000",VNPost,COD,Facebook,?ã giao,2020-01-03,4,Apple,?i?n tho?i
DH2020008457,2020-01-01,KH00001,0853807152,Cà Mau,SP007,MacBook Air M2,?? ?i?n t?,1,"23,990,000",20%,"4,798,000","23,990,000","1,919,000","28,000","21,139,000",Giao Hàng Ti?t Ki?m,COD,Facebook,?ã xác nh?n,2020-01-03,20,Apple,Laptop
DH2020002665,2020-01-02,KH00195,0834401669,??ng Nai,SP017,Màn hình Dell 24 inch,?? ?i?n t?,2,"3,290,000",5%,"329,000","6,580,000","625,000","22,000","6,898,000",J&T Express,Th? ngân hàng,Zalo,Hoàn hàng,2020-01-04,6,Dell,Màn hình
DH2020005827,2020-01-02,KH00018,0857033519,Tây Ninh,SP014,Loa Bluetooth JBL Go 4,?? ?i?n t?,3,"1,190,000",0%,0,"3,570,000","357,000","40,000","3,967,000",VNPost,Ví ?i?n t?,Zalo,?ã giao,2020-01-08,20,JBL,Loa
DH2020006332,2020-01-02,KH00861,0379146269,??ng Nai,SP015,Smart TV Samsung 43 inch,?? ?i?n t?,2,"7,990,000",0%,0,"15,980,000","1,598,000","22,000","17,600,000",Viettel Post,Th? ngân hàng,C?a hàng,?ã giao,2020-01-07,1,Samsung,Tivi
DH2020007570,2020-01-02,KH00003,0967250448,Cà Mau,SP004,iPhone 14,?? ?i?n t?,4,"16,990,000",10%,"6,796,000","67,960,000","6,116,000","22,000","67,302,000",J&T Express,Ví ?i?n t?,C?a hàng,?ã giao,2020-01-05,20,Apple,?i?n tho?i
DH2020009607,2020-01-02,KH02055,0345907889,??ng Nai,SP026,Camera Xiaomi C300,?? ?i?n t?,2,"990,000",7%,"139,000","1,980,000","184,000","45,000","2,070,000",Viettel Post,COD,Website,?ã xác nh?n,2020-01-04,1,Xiaomi,Camera
DH2020001232,2020-01-03,KH00071,0975871309,Cà Mau,SP015,Smart TV Samsung 43 inch,?? ?i?n t?,1,"7,990,000",20%,"1,598,000","7,990,000","639,000","28,000","7,059,000",Ninja Van,Chuy?n kho?n,Zalo,?ã giao,2020-01-07,17,Samsung,Tivi
DH2020003109,2020-01-03,KH00014,0946009293,V?nh Long,SP026,Camera Xiaomi C300,?? ?i?n t?,1,"990,000",0%,0,"990,000","99,000","40,000","1,129,000",Giao Hàng Nhanh,Chuy?n kho?n,Facebook,?ã giao,2020-01-07,20,Xiaomi,Camera
