Ma_Don;Ngay_Dat;So_Dien_Thoai;Tinh_Thanh;Phuong_Xa;Dia_Chi_Cu_The;Ma_San_Pham;Ten_San_Pham;Nhom_Hang;So_Luong; Don_Gia ;Ty_Le_Giam_Gia; Tien_Giam ; Tong_Hang ; Phi_Van_Chuyen ; Tong_Thanh_Toan ;Don_Vi_Giao;Phuong_Thuc_Thanh_Toan;Kenh_Ban;Trang_Thai;Ngay_Giao_Du_Kien;So_Lan_Khach_Quay_Lai;Thuong_Hieu;Danh_Muc
DH2020002684;01/01/2020;919373445;Cần Thơ;Phường Ninh Kiều;512 Pasteur;SP025;Máy in Canon LBP 2900;Đồ điện tử;2; 4,290,000 ₫ ;0; - ₫ ; 8,580,000 ₫ ;22,00 ₫; 9,460,000 ₫ ;VNPost;Thẻ ngân hàng;Zalo;Đang giao;06/01/2020;20;Canon;Máy in
DH2020004980;01/01/2020;853050012;Cà Mau;Phường Cà Mau;382 Cách Mạng Tháng Tám;SP021;Sạc nhanh Anker 20W;Đồ điện tử;1;350,00 ₫;0; - ₫ ;350,00 ₫;25,00 ₫;410,00 ₫;J&T Express;Chuyển khoản;Shopee;Đã giao;06/01/2020;20;Anker;Phụ kiện
DH2020006522;01/01/2020;869206033;TP. Hồ Chí Minh;Phường Bình Thạnh;401 Võ Văn Kiệt;SP011;Tai nghe AirPods 3;Đồ điện tử;1; 3,990,000 ₫ ;0.2;798,00 ₫; 3,990,000 ₫ ;45,00 ₫; 3,556,000 ₫ ;J&T Express;Chuyển khoản;Facebook;Đã giao;03/01/2020;12;Apple;Tai nghe
DH2020006863;01/01/2020;933051680;Tây Ninh;Phường Trảng Bàng;298 Nguyễn Trãi;SP022;Cáp sạc Type-C Anker;Đồ điện tử;1;190,00 ₫;0.15;28,00 ₫;190,00 ₫;45,00 ₫;223,00 ₫;Giao Hàng Nhanh;Ví điện tử;Facebook;Đã giao;03/01/2020;18;Anker;Phụ kiện
DH2020007018;01/01/2020;904461107;Cần Thơ;Phường Bình Thủy;3 Phạm Văn Đồng;SP001;Samsung Galaxy A15;Đồ điện tử;3; 4,590,000 ₫ ;0.15; 2,066,000 ₫ ; 13,770,000 ₫ ;40,00 ₫; 12,914,000 ₫ ;J&T Express;Thẻ ngân hàng;Zalo;Đã giao;04/01/2020;1;Samsung;Điện thoại
DH2020008249;01/01/2020;844718860;TP. Hồ Chí Minh;Phường Tân Bình;592 Nguyễn Trãi;SP003;iPhone 15;Đồ điện tử;2; 19,990,000 ₫ ;0; - ₫ ; 39,980,000 ₫ ;25,00 ₫; 44,003,000 ₫ ;VNPost;COD;Facebook;Đã giao;03/01/2020;4;Apple;Điện thoại
DH2020008457;01/01/2020;853807152;Cà Mau;Xã Đầm Dơi;510 Lý Thường Kiệt;SP007;MacBook Air M2;Đồ điện tử;1; 23,990,000 ₫ ;0.2; 4,798,000 ₫ ; 23,990,000 ₫ ;28,00 ₫; 21,139,000 ₫ ;Giao Hàng Tiết Kiệm;COD;Facebook;Đã xác nhận;03/01/2020;20;Apple;Laptop
DH2020002665;02/01/2020;834401669;Đồng Nai;Phường Biên Hòa;116 Trần Hưng Đạo;SP017;Màn hình Dell 24 inch;Đồ điện tử;2; 3,290,000 ₫ ;0.05;329,00 ₫; 6,580,000 ₫ ;22,00 ₫; 6,898,000 ₫ ;J&T Express;Thẻ ngân hàng;Website;Hoàn hàng;04/01/2020;6;Dell;Màn hình
DH2020005827;02/01/2020;857033519;Tây Ninh;Xã Châu Thành;206 Nguyễn Trãi;SP014;Loa Bluetooth JBL Go 4;Đồ điện tử;3; 1,190,000 ₫ ;0; - ₫ ; 3,570,000 ₫ ;40,00 ₫; 3,967,000 ₫ ;VNPost;Ví điện tử;Website;Đã giao;08/01/2020;20;JBL;Loa
DH2020006332;02/01/2020;379146269;Đồng Nai;Phường Long Khánh;80 Nam Kỳ Khởi Nghĩa;SP015;Smart TV Samsung 43 inch;Đồ điện tử;2; 7,990,000 ₫ ;0; - ₫ ; 15,980,000 ₫ ;22,00 ₫; 17,600,000 ₫ ;Viettel Post;Thẻ ngân hàng;Cửa hàng;Đã giao;07/01/2020;1;Samsung;Tivi
DH2020007570;02/01/2020;967250448;Cà Mau;Xã U Minh;295 Võ Văn Kiệt;SP004;iPhone 14;Đồ điện tử;4; 16,990,000 ₫ ;0.1; 6,796,000 ₫ ; 67,960,000 ₫ ;22,00 ₫; 67,302,000 ₫ ;J&T Express;Ví điện tử;Cửa hàng;Đã giao;05/01/2020;20;Apple;Điện thoại
DH2020009607;02/01/2020;345907889;Đồng Nai;Xã Định Quán;81 Trần Hưng Đạo;SP026;Camera Xiaomi C300;Đồ điện tử;2;990,00 ₫;0.07;139,00 ₫; 1,980,000 ₫ ;45,00 ₫; 2,070,000 ₫ ;Viettel Post;COD;Zalo;Đã xác nhận;04/01/2020;1;Xiaomi;Camera
DH2020001232;03/01/2020;975871309;Cà Mau;Phường Cà Mau;139 Lý Thường Kiệt;SP015;Smart TV Samsung 43 inch;Đồ điện tử;1; 7,990,000 ₫ ;0.2; 1,598,000 ₫ ; 7,990,000 ₫ ;28,00 ₫; 7,059,000 ₫ ;Ninja Van;Chuyển khoản;Website;Đã giao;07/01/2020;17;Samsung;Tivi
DH2020003109;03/01/2020;946009293;Vĩnh Long;Xã Mang Thít;493 Cách Mạng Tháng Tám;SP026;Camera Xiaomi C300;Đồ điện tử;1;990,00 ₫;0; - ₫ ;990,00 ₫;40,00 ₫; 1,129,000 ₫ ;Giao Hàng Nhanh;Chuyển khoản;Facebook;Đã giao;07/01/2020;20;Xiaomi;Camera
DH2020005860;03/01/2020;332403574;TP. Hồ Chí Minh;Phường Bến Thành;363 Nguyễn Huệ;SP014;Loa Bluetooth JBL Go 4;Đồ điện tử;2; 1,190,000 ₫ ;0.12;286,00 ₫; 2,380,000 ₫ ;30,00 ₫; 2,333,000 ₫ ;Ninja Van;Thẻ ngân hàng;Cửa hàng;Hoàn hàng;07/01/2020;9;JBL;Loa
DH2020007436;03/01/2020;767453229;TP. Hồ Chí Minh;Phường Tân Bình;63 3 Tháng 2;SP011;Tai nghe AirPods 3;Đồ điện tử;3; 3,990,000 ₫ ;0.03;359,00 ₫; 11,970,000 ₫ ;25,00 ₫; 12,797,000 ₫ ;J&T Express;COD;Website;Đã giao;05/01/2020;2;Apple;Tai nghe
DH2020001394;04/01/2020;853807152;Cần Thơ;Phường Thốt Nốt;595 Điện Biên Phủ;SP025;Máy in Canon LBP 2900;Đồ điện tử;1; 4,290,000 ₫ ;0.03;129,00 ₫; 4,290,000 ₫ ;18,00 ₫; 4,595,000 ₫ ;Giao Hàng Tiết Kiệm;Thẻ ngân hàng;Zalo;Đã xác nhận;10/01/2020;20;Canon;Máy in
DH2020003749;04/01/2020;931614442;Cần Thơ;Phường Ninh Kiều;253 Điện Biên Phủ;SP001;Samsung Galaxy A15;Đồ điện tử;3; 4,590,000 ₫ ;0.03;413,00 ₫; 13,770,000 ₫ ;18,00 ₫; 14,711,000 ₫ ;Ninja Van;Ví điện tử;Shopee;Hủy đơn;10/01/2020;5;Samsung;Điện thoại
DH2020004511;04/01/2020;853807152;Đồng Nai;Xã Nhơn Trạch;488 Nguyễn Trãi;SP002;Samsung Galaxy S24;Đồ điện tử;1; 18,990,000 ₫ ;0.12; 2,279,000 ₫ ; 18,990,000 ₫ ;35,00 ₫; 18,417,000 ₫ ;Viettel Post;Chuyển khoản;Facebook;Đã giao;07/01/2020;20;Samsung;Điện thoại
DH2020006757;04/01/2020;356833542;An Giang;Xã Phú Tân;588 Nguyễn Huệ;SP011;Tai nghe AirPods 3;Đồ điện tử;2; 3,990,000 ₫ ;0.03;239,00 ₫; 7,980,000 ₫ ;35,00 ₫; 8,550,000 ₫ ;Giao Hàng Nhanh;Thẻ ngân hàng;Zalo;Đã giao;07/01/2020;12;Apple;Tai nghe
DH2020007313;04/01/2020;853807152;TP. Hồ Chí Minh;Phường Bình Thạnh;412 Điện Biên Phủ;SP002;Samsung Galaxy S24;Đồ điện tử;2; 18,990,000 ₫ ;0.1; 3,798,000 ₫ ; 37,980,000 ₫ ;28,00 ₫; 37,628,000 ₫ ;VNPost;Thẻ ngân hàng;Zalo;Đã giao;09/01/2020;20;Samsung;Điện thoại
DH2020001827;05/01/2020;860741326;An Giang;Xã Chợ Mới;247 Phạm Văn Đồng;SP001;Samsung Galaxy A15;Đồ điện tử;10; 4,590,000 ₫ ;0; - ₫ ; 45,900,000 ₫ ;40,00 ₫; 50,530,000 ₫ ;VNPost;Ví điện tử;TikTok Shop;Đã giao;07/01/2020;6;Samsung;Điện thoại
DH2020006552;05/01/2020;853807152;Cần Thơ;Phường Ninh Kiều;95 Điện Biên Phủ;SP012;Tai nghe Samsung Galaxy Buds FE;Đồ điện tử;3; 1,590,000 ₫ ;0.1;477,00 ₫; 4,770,000 ₫ ;25,00 ₫; 4,747,000 ₫ ;Ninja Van;Ví điện tử;Website;Đã giao;07/01/2020;20;Samsung;Tai nghe
DH2020006694;05/01/2020;810028728;TP. Hồ Chí Minh;Phường Bến Thành;57 3 Tháng 2;SP015;Smart TV Samsung 43 inch;Đồ điện tử;6; 7,990,000 ₫ ;0.07; 3,356,000 ₫ ; 47,940,000 ₫ ;30,00 ₫; 49,072,000 ₫ ;Ninja Van;Ví điện tử;Website;Hoàn hàng;10/01/2020;4;Samsung;Tivi
DH2020007463;05/01/2020;854858670;TP. Hồ Chí Minh;Phường Bến Thành;471 Nam Kỳ Khởi Nghĩa;SP024;Samsung Galaxy Watch6;Đồ điện tử;3; 5,490,000 ₫ ;0.03;494,00 ₫; 16,470,000 ₫ ;22,00 ₫; 17,596,000 ₫ ;VNPost;COD;Zalo;Đã giao;08/01/2020;11;Samsung;Đồng hồ thông minh
DH2020008106;05/01/2020;782092292;Tây Ninh;Xã Châu Thành;102 Nguyễn Huệ;SP024;Samsung Galaxy Watch6;Đồ điện tử;1; 5,490,000 ₫ ;0; - ₫ ; 5,490,000 ₫ ;18,00 ₫; 6,057,000 ₫ ;VNPost;Chuyển khoản;Website;Đã giao;10/01/2020;20;Samsung;Đồng hồ thông minh
